1,"[150, 559, 511, 679, 766]"
2,"[128, 310, 529, 510, 559, 772, 189]"
3,"[146, 167, 188, 308, 510, 558]"
4,"[168, 309, 496]"
5,"[309, 199]"
6,"[317, 134, 267, 508, 602, 698, 686, 769]"
7,"[134, 267, 490, 557, 714, 767]"
8,"[128, 134, 266, 768, 678, 558, 490, 510, 775, 605]"
9,"[128, 558, 679]"
10,"[127, 530, 146, 678, 774]"
11,"[129, 309, 574]"
12,"[308, 572, 168]"
13,"[322, 571, 220]"
14,"[155, 203, 323, 566]"
15,"[269, 696, 95, 130, 192, 562, 574, 542, 767, 390, 683]"
16,"[269, 192, 131, 95, 564, 574, 543, 767, 289, 698, 684]"
17,"[132, 191, 268, 569, 577, 768]"
18,"[133, 266, 317, 768, 679, 507]"
19,"[134, 128, 189, 557, 767, 570, 266, 490, 606, 775, 680, 691]"
20,"[132, 127, 511, 767, 558, 190, 775, 605]"
21,"[529, 200, 497, 580]"
22,"[128, 571]"
23,"[149, 266, 235, 175, 669]"
24,"[148, 204, 450, 480, 470, 565, 530, 320]"
25,"[240, 530, 565]"
26,"[269, 192, 131, 96, 435, 518, 605, 737, 765, 562, 696]"
27,"[270, 130, 59, 98, 193, 389, 534, 518, 605, 562, 573]"
28,"[130, 193, 270, 391, 518, 564, 574, 766, 96, 60]"
29,"[288, 269, 193, 518, 766, 98, 564, 574]"
30,"[192, 269, 454, 288, 766, 99]"
31,"[267, 765, 456]"
32,"[190, 528, 578, 767]"
33,"[581, 200]"
34,[147]
35,"[140, 152, 493]"
36,"[78, 450, 235, 203, 533]"
37,"[116, 138, 417, 602, 579, 253, 344]"
38,"[374, 350, 51, 115, 182, 458, 482, 580]"
39,"[65, 114, 98, 193, 269, 417, 432, 550, 563, 734, 765]"
40,"[132, 97, 116, 193, 270, 518, 564, 671, 739, 765, 416]"
41,"[193, 130, 271, 417, 454, 517, 563, 605, 765]"
42,"[60, 391, 271, 96, 130, 537, 454, 563, 604, 765, 675]"
43,"[454, 765, 517, 270, 96, 392]"
44,"[288, 453, 763, 678]"
45,"[138, 166, 315]"
46,[]
47,[]
48,"[175, 252, 267]"
49,"[170, 228]"
50,"[80, 379, 352]"
51,"[235, 101, 358, 382, 442, 464, 602]"
52,[776]
53,"[672, 691, 550, 770, 192]"
54,"[114, 94, 270, 416, 434, 455, 550, 563, 672, 651, 737, 765, 777]"
55,"[131, 115, 95, 271, 454, 417, 564, 674, 764, 515, 193]"
56,"[454, 415, 192, 115, 764, 272, 673, 95]"
57,"[59, 100, 138, 389, 454, 605, 763, 23]"
58,"[138, 166, 315, 391, 534, 60, 492, 101]"
59,[288]
60,[288]
61,[]
62,[]
63,"[225, 83, 235]"
64,"[237, 225, 103, 388, 360, 468, 530, 604]"
65,"[238, 361, 385, 444, 468, 529, 283]"
66,"[238, 285, 361, 446, 174]"
67,"[682, 767, 242, 82]"
68,"[688, 776]"
69,"[324, 64, 548, 570, 776, 675]"
70,"[115, 739, 778, 417, 673, 453, 271]"
71,"[138, 116, 316, 777, 416, 564, 683]"
72,"[137, 59, 316, 416, 490, 451]"
73,"[59, 389, 604]"
74,"[536, 393, 59]"
75,[]
76,[]
77,"[248, 227, 98]"
78,"[226, 237]"
79,"[238, 362, 385, 446, 468, 529]"
80,"[237, 175, 361, 385, 447, 469, 285]"
81,"[105, 174, 733, 752, 544, 487, 431, 96, 681, 515, 12]"
82,"[447, 676, 753, 185, 101, 91, 511, 772]"
83,[766]
84,"[691, 776]"
85,"[136, 66, 550, 735, 778]"
86,"[115, 138, 316, 417, 738, 776, 490]"
87,"[116, 777]"
88,"[59, 102, 389]"
89,"[390, 289, 534]"
90,"[529, 287]"
91,"[284, 527]"
92,"[227, 151, 85, 286]"
93,"[285, 239, 227, 387, 529, 607, 361, 448, 471]"
94,"[447, 470, 385, 362, 282, 237]"
95,"[103, 174, 431, 488, 546, 735, 750]"
96,"[121, 107, 99, 270, 546, 575, 753, 682, 621, 660, 59, 172, 429, 312]"
97,"[678, 483, 447, 333, 755, 777]"
98,"[561, 777, 299]"
99,"[303, 564, 774]"
100,[777]
101,"[297, 123, 65, 403, 416, 432, 547, 735, 777, 650]"
102,"[416, 115, 104, 777]"
103,"[389, 116, 59, 99, 604]"
104,[288]
105,"[285, 526, 94]"
106,"[284, 524]"
107,"[227, 239, 525, 386, 283, 471]"
108,"[238, 387, 362, 447, 471, 343]"
109,"[736, 174]"
110,"[121, 59, 433, 754, 270, 680, 623, 547, 735]"
111,"[680, 660, 621, 488, 269, 99]"
112,[679]
113,[560]
114,[780]
115,[777]
116,[777]
117,"[121, 401, 414, 430, 544, 730, 774, 64, 294, 646]"
118,"[542, 733, 295, 112, 99, 58]"
119,"[386, 736]"
120,"[390, 602]"
121,"[250, 152, 86, 108, 224]"
122,"[107, 227, 239, 387, 364, 470, 448, 607]"
123,"[105, 362, 386, 447, 470, 737]"
124,"[173, 432, 548, 733, 750, 682, 101, 60, 577, 662, 14]"
125,"[58, 67, 47, 172, 98, 313, 679, 753, 485, 510, 549]"
126,"[342, 752, 100, 58, 283, 487, 620, 678]"
127,"[684, 312, 128]"
128,[684]
129,[779]
130,[779]
131,[776]
132,"[773, 731, 545, 400, 429, 294, 122]"
133,"[295, 432, 545, 734, 770]"
134,"[388, 736, 240, 221]"
135,"[251, 239, 226, 86, 387, 366, 737, 473, 605, 171]"
136,"[173, 432, 387, 363, 448, 473, 624, 737]"
137,"[734, 105, 173, 449, 432, 624, 751]"
138,"[384, 469, 487, 750, 171, 99, 313, 17]"
139,"[237, 359, 754, 101, 622, 488, 677, 58, 14]"
140,[]
141,[685]
142,"[779, 693]"
143,[780]
144,[775]
145,"[414, 774]"
146,[772]
147,"[94, 173, 547, 646, 624, 736, 764]"
148,"[386, 432, 365, 736, 768, 89, 473]"
149,"[471, 433, 736, 198, 312, 448, 575, 683, 387]"
150,"[269, 239, 86, 736]"
151,"[751, 19]"
152,[465]
153,[777]
154,"[694, 302, 777]"
155,[779]
156,[777]
157,[775]
158,[770]
159,[365]
160,[252]
161,"[123, 272, 297, 386, 472, 736, 684, 220, 549, 575]"
162,"[268, 17]"
163,"[18, 274]"
164,"[303, 692, 775]"
165,[779]
166,[777]
167,[774]
168,[772]
169,"[365, 770]"
170,"[315, 272, 687, 740, 768]"
171,"[271, 252, 239, 220, 298, 55, 363, 18, 548]"
172,[19]
173,[779]
174,"[412, 775]"
175,"[769, 98]"
176,"[272, 95, 365, 317, 259]"
177,"[272, 94, 388, 314, 685, 766, 742, 486, 257]"
